VI	Active	Name	Unit
GLADE	TRUE	ENVEJECIMIENTO, COGNICIÓN Y SALUD	https://data.ec2u.eu/units/1d6f9bafc4b3b47c44ab4c9e3724a453
GLADE	TRUE	NEUROFISIOLOGÍA, COGNICIÓN Y CONDUCTA	https://data.ec2u.eu/units/c41b38e2742175cfd2b1169685c643f6
GLADE	TRUE	GRUPO DE INVESTIGACION EN OBSTETRICIA Y GINECOLOGIA	https://data.ec2u.eu/units/0f5d2b0832bce344325d38366ba8c464
GLADE	TRUE	ALERGOLOGÍA	https://data.ec2u.eu/units/0ca6a9ea2e2cd7aa5a94e5fe846a38cc
GLADE	TRUE	SEÑALIZACIÓN, DIVISIÓN Y CRECIMIENTO CELULAR	https://data.ec2u.eu/units/505f9853dc38a979d14dfa29f7f2e11c
GLADE	TRUE	GRUPO DE INVESTIGACION EN MEMORIA Y COGNICIÓN	https://data.ec2u.eu/units/d31a3ec5b14b720badc8bd8dbaba9687
GLADE	TRUE	CANCIRMED	https://data.ec2u.eu/units/62724119888479ffa5cae2b138f5e755
GLADE	TRUE	HEPATOLOGÍA EXPERIMENTAL Y VECTORIZACIÓN DE FÁRMACOS (HEVEPHARM)	https://data.ec2u.eu/units/a7d37f7a11a7558074ebafacb4145bba
GLADE	TRUE	ESTILOS DE VIDA, SALUD VASCULAR Y ENVEJECIMIENTO ACTIVO (ESVE)	https://data.ec2u.eu/units/13aa5648aedc1567d989f5e898ff3981
GLADE	TRUE	BIOLOGÍA MOLECULAR Y CELULAR EN HEMOPATÍAS	https://data.ec2u.eu/units/af8386a5e9d4b1efeb1b27c5db84dac0
GLADE	TRUE	MEDICINA MOLECULAR	https://data.ec2u.eu/units/f3866fa9fadf878ec0cc1d64ac633052
GLADE	TRUE	MECANISMOS DE SEÑALIZACIÓN EN ENFERMEDADES CARDIOVASCULARES Y OTRAS PATOLOGÍAS.	https://data.ec2u.eu/units/5dacfd5f0873c3d178d58700b46ff87c
GLADE	TRUE	SEÑALIZACIÓN REDOX Y ESTRÉS OXIDATIVO EN HEMATOPOYESIS Y PANCREATITIS	https://data.ec2u.eu/units/e43ed4984e1f76c76b23fce0d76208e8
GLADE	TRUE	GENÉTICA MOLECULAR EN ONCOHEMATOLOGÍA	https://data.ec2u.eu/units/c021025385e3457da2f7e4ef3e4c5904
GLADE	TRUE	GRUPO DE VISUALIZACIÓN MÉDICA AVANZADA	https://data.ec2u.eu/units/1b35a11f2b8f1a927577a6c46b9ea49b
GLADE	TRUE	TRASTORNOS SENSORIALES Y NEUROPLASTICIDAD CEREBRAL	https://data.ec2u.eu/units/7cb98be34a9dfd0bfc7349d2127a930a
GLADE	TRUE	ALCOHOL, METABOLISMO Y SISTEMA INMUNE	https://data.ec2u.eu/units/c3ff43c4d563e1bf4e87cd6ac2bdf9b5
GLADE	TRUE	FARMACOCINÉTICA EXPERIMENTAL Y CLÍNICA	https://data.ec2u.eu/units/8cf4ee2e2ca5c104fdefa544f451184c
GLADE	TRUE	FARMACOLOGÍA CARDIOVASCULAR BÁSICA	https://data.ec2u.eu/units/a6bd77241bf0fb43be717421bc4274c0
GLADE	TRUE	INVESTIGACIÓN CLÍNICA EN PSIQUIATRIA Y TRATAMIENTOS AVANZADOS	https://data.ec2u.eu/units/a1dcae2069e0fd50781b5d3c57888825
GLADE	TRUE	INVESTIGACION TRASLACIONAL EN ENFERMEDADES RENALES Y CARDIOVASCULARES	https://data.ec2u.eu/units/4b4c85edd3589627d2b051cf8bad1af2
GLADE	TRUE	SISTEMA SEROTONÉRGICO Y SU IMPLICACION FARMACOLÓGICA EN PATOLOGÍAS CARDIOVASCULARES	https://data.ec2u.eu/units/2552b27210fee7397d9e89bba34b15a2
